lakecode,lakename,lakeorriver,continent,country,state,latitude,longitude,elevation,mean_depth,max_depth,surface_area,shoreline,largest_city_population,power_plant_discharge,inlet_streams,area_drained,landuse_code,conductivity_us,secchi_depth,contributor,filename,initials,lat_decimal,lon_decimal,median_depth,comments
JK08,SUMMASJARVI (1419),L,E,FINLAND,-999,62.68,25.35,108.5,6.8,41,21.9,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,62.68,25.35,-999,Guage=1401900 Replaces EK8 and RB17 which were moved to ICELAKES_REMOVED and ICEDATA_REMOVED
JK09,PIELAVESI - SAVIA (1427),L,E,FINLAND,-999,63.2,26.67,102.3,-999,-999,110,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,63.2,26.67,-999,Guage=1402710 Replaces EK12 - LAKE PIELAVESI (1427) which was moved to ICELAKES_REMOVED and ICEDATA_REMOVED
JK10,HANKAVESI - RAUTALAMPI (1436),L,E,FINLAND,-999,62.62,26.83,96.1,7.04,49,18.2,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,62.62,26.83,-999,Guage=1403600 Replaces EK15 - LAKE HANKAVESI (1436) which was moved to ICELAKES_REMOVED and ICEDATA_REMOVED
JK11,YLA-KIVIJARVI - JURVALA (1488),L,E,FINLAND,-999,60.95,27.76,75.2,5.3,27,76.4,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,60.95,27.76,-999,Guage=1408800 Replaces RB41 which was moved to ICELAKES_REMOVED and ICEDATA_REMOVED
JK12,LAPPAJARVI - HALKOSAARI (4703),L,E,FINLAND,-999,63.26,23.64,69.5,6.9,39,145.5,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,63.26,23.64,-999,Guage=4700320
JK13,KITUSJARVI (3548),L,E,FINLAND,-999,62.28,24.06,116.2,-999,-999,0.5,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,62.28,24.06,-999,Guage=3504800
JK14,KUKKIA - PUUTIKKALA (3512),L,E,FINLAND,-999,61.33,24.62,86.6,-999,-999,43.4,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,61.33,24.62,-999,Guage=3501200 Replaces RB44 which was moved to ICELAKES_REMOVED and ICEDATA_REMOVED
JK15,LANGELMAVESI - KAIVANTO (3506),L,E,FINLAND,-999,61.42,24.15,84.2,6.8,59.3,133,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,61.42,24.15,-999,Guage=3500600
JK16,ALA-KIVIJARVI - YLA-MUNNI (1489),L,E,FINLAND,-999,60.94,27.51,75.1,4.8,19,91.9,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,60.94,27.51,-999,Guage=1408900
JK17,ALA-RIEVELI (1468),L,E,FINLAND,-999,61.34,26.2,77.8,11.3,46.9,13,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,61.34,26.2,-999,Guage=1406800
JK18,VESIJARVI -  LAHTI (1461),L,E,FINLAND,-999,60.99,25.65,81.4,6.6,40,107.6,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,60.99,25.65,-999,Guage=1406100 Replaces RB35 which was moved to ICELAKES_REMOVED and ICEDATA_REMOVED
JK19,JAASJARVI - HARTOLA (1457),L,E,FINLAND,-999,61.57,26.05,92.3,4.6,28.2,81.1,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,61.57,26.05,-999,Guage=1405700 Replaces EK19 and RB33 which were moved to ICELAKES_REMOVED and ICEDATA_REMOVED
JK20,ALA-KINTAUS (1449),L,E,FINLAND,-999,62.28,25.34,154.4,5.2,19,7.2,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,62.28,25.34,-999,Guage=1404900 Replaces RB29 which was moved to ICELAKES_REMOVED and ICEDATA_REMOVED
JK21,IISVESI (1433),L,E,FINLAND,-999,62.67,27.04,97.9,-999,34.5,164.5,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,62.67,27.04,-999,Guage=1403300 Replaces EK14and RB21 which were moved to ICELAKES_REMOVED and ICEDATA_REMOVED
JK22,PAAJARVI - KARSTULA (1415),L,E,FINLAND,-999,62.86,24.81,144.4,3.8,14.9,29.5,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,62.86,24.81,-999,Guage=1401500 Replaces EK6 and RB15 which were moved to ICELAKES_REMOVED and ICEDATA_REMOVED
JK23,KIVIJARVI - SAARENKYLA (1407),L,E,FINLAND,-999,63.27,25.13,130.8,8.36,43.78,154,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,63.27,25.13,-999,Guage=1400700 Replaces EK4 and RB12 which were moved to ICELAKES_REMOVED and ICEDATA_REMOVED
JK24,SAANIJARVI (1403),L,E,FINLAND,-999,63.4,25.58,114,1.96,6,12.6,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,63.4,25.58,-999,Guage=1400300 Replaces EK2 and RB11 which were moved to ICELAKES_REMOVED and ICEDATA_REMOVED
JK25,HAUKIVESI,L,E,FINLAND,-999,62.11,28.61,75.8,9.1,55,560,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,62.11,28.61,-999,Guage=410200
JK26,INARI - NELLIM,L,E,FINLAND,-999,68.85,28.3,118.7,-999,-999,1,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,68.85,28.3,-999,Guage=7101610
JK27,KEVOJARVI,L,E,FINLAND,-999,69.76,27.01,75.3,-999,-999,1,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,69.76,27.01,-999,Guage=6801100
JK28,KILPISJARVI,L,E,FINLAND,-999,69.05,20.79,472.8,19.5,57,37.3,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,69.05,20.79,-999,Guage=6700100
JK29,KORVUANJARVI,L,E,FINLAND,-999,65.35,28.67,241.8,6,37,15.4,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,65.35,28.67,-999,Guage=6100630
JK30,KUORTANEENJARVI,L,E,FINLAND,-999,62.86,23.41,75.8,3.34,16.2,14.9,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,62.86,23.41,-999,Guage=4400100
JK31,LENTUA,L,E,FINLAND,-999,64.2,29.69,167.9,7.4,52,77.8,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,64.2,29.69,-999,Guage=5901710
JK32,LESTIJARVI,L,E,FINLAND,-999,63.58,24.72,140.7,-999,-999,64.5,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,63.58,24.72,-999,Guage=5100200
JK33,LIVOJARVI,L,E,FINLAND,-999,65.98,27.97,243.7,5.8,28,33,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,65.98,27.97,-999,Guage=6101100
JK34,MUTUSJARVI,L,E,FINLAND,-999,68.94,26.81,146.2,8.5,-999,50.45,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,68.94,26.81,-999,Guage=7100700
JK35,NAAMANKAJARVI,L,E,FINLAND,-999,65.1,28.25,173.5,2.9,14,8.52,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,65.1,28.25,-999,Guage=6100610
JK36,OIJARVI,L,E,FINLAND,-999,65.62,25.93,89.8,-999,-999,21.05,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,65.62,25.93,-999,Guage=6300100
JK37,OUNASJARVI,L,E,FINLAND,-999,68.4,23.72,286.9,6.6,-999,6.9,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,68.4,23.72,-999,Guage=6503000
JK38,PAIJANNE - TEHI,L,E,FINLAND,-999,61.48,25.56,78.3,15,94.5,1080,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,61.48,25.56,-999,Guage=1422120
JK39,PEERAJARVI,L,E,FINLAND,-999,68.88,21.08,459.5,-999,-999,1.9,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,68.88,21.08,-999,Guage=6700200
JK40,PIELINEN,L,E,FINLAND,-999,63.54,29.13,93.7,10,61,894,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,63.54,29.13,-999,Guage=401410
JK41,POROVESI,L,E,FINLAND,-999,63.55,27.18,85.8,-999,-999,21.7,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,63.55,27.18,-999,Guage=406100
JK42,REHJA,L,E,FINLAND,-999,64.23,27.79,137.9,8.5,42,96.4,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,64.23,27.79,-999,Guage=5902610
JK43,SAAKSJARVI - NURMIJARVI,L,E,FINLAND,-999,60.51,24.66,99.8,-999,-999,2.6,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,60.51,24.66,-999,Guage=2300310
JK44,UNARI,L,E,FINLAND,-999,67.14,25.75,179.8,-999,-999,28.8,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,67.14,25.75,-999,Guage=6503510
JK45,VISUVESI,L,E,FINLAND,-999,62.12,23.93,96.1,6.95,62,46.2,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,62.12,23.93,-999,Guage=3505000
JK46,PALOVESI,L,E,FINLAND,-999,61.86,23.91,96,9.6,60.97,25.5,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,61.86,23.91,-999,Guage=3506200
JK47,SIMPELEJARVI,L,E,FINLAND,-999,61.6,29.49,68.8,9.34,25.5,58.6,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,61.6,29.49,-999,Guage=300100 Replaces RB1 which was moved to ICELAKES_REMOVED and ICEDATA_REMOVED
JK48,AHTARINJARVI,L,E,FINLAND,-999,62.76,24.05,153.5,5.2,27,39.9,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,62.76,24.05,-999,Guage=3503710 Replaces RB46 which was moved to ICELAKES_REMOVED and ICEDATA_REMOVED
JK49,KUIVAJARVI,L,E,FINLAND,-999,60.78,23.84,96.6,-999,-999,8.2,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,60.78,23.84,-999,Guage=3509110 Replaces RB54 which was moved to ICELAKES_REMOVED and ICEDATA_REMOVED
JK50,JERISJARVI,L,E,FINLAND,-999,67.95,24.01,257.6,3.4,11.7,23.5,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,67.95,24.01,-999,Guage=6700700 Replaces RB59 which was moved to ICELAKES_REMOVED and ICEDATA_REMOVED
JK51,SAAKSJARVI - SAAKSKOSKI,L,E,FINLAND,-999,61.39,22.46,49,3.7,9.1,33.18,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,61.39,22.46,-999,Guage=3509800 Replaces RB55 which was moved to ICELAKES_REMOVED and ICEDATA_REMOVED
JL1,CROOKED LAKE,L,N,UNITED STATES,MN,47.142,93.73,-999,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,LATIMER,JL,JL,47.14,-93.73,-999,-999
JL2,MCKINNEY LAKE,L,N,UNITED STATES,MN,47.254,93.53,392,-999,10.4,0.47,-999,-999,-,-,-999,-999,-999,-999,LATIMER,JL,JL,47.25,-93.53,-999,-999
KMS1,BONAPARTE,L,N,UNITED STATES,NY,44 09 27 N,75 24 16 W,240,9.4,21.3,5.05,-999,-999,-,-,-999,-999,-999,-999,STEWART,KMS,KMS,44.16,-75.4,-999,-999
KMS10,GEORGE,L,N,UNITED STATES,NY,43 50 13 N,73 25 50 W,97,-999,57,115.25,-999,-999,-,-,-999,-999,-999,-999,STEWART,KMS,KMS,43.83,-73.43,-999,-999
KMS11,MIRROR,L,N,UNITED STATES,NY,44 17 20 N,73 58 56 W,565,4.3,18.3,0.518,-999,-999,-,-,-999,-999,-999,-999,STEWART,KMS,KMS,44.29,-73.99,-999,-999
KMS12,MOHONK,L,N,UNITED STATES,NY,41 45 48 N,74 09 34 W,380,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,STEWART,KMS,KMS,41.76,-74.16,-999,-999
KMS14,OTSEGO,L,N,UNITED STATES,NY,42 45 N,74 53 40 W,363,24.9,50.6,17.11,34.49,-999,-,-,-999,-999,-999,-999,STEWART,KMS,KMS,42.75,-74.89,-999,-999
KMS15,PLACID,L,N,UNITED STATES,NY,44 18 16 N,73 59 43 W,566,15.8,42.7,8.794,-999,-999,-,-,-999,-999,-999,-999,STEWART,KMS,KMS,44.3,-73.99,-999,-999
KMS16,ST. REGIS LOWER,L,N,UNITED STATES,NY,44 25 52 N,74 17 53 W,493,-999,10.7,1.477,-999,-999,-,-,-999,-999,-999,-999,STEWART,KMS,KMS,44.43,-74.29,-999,Also see lakecode CS1. This is the same lake with some discrepancies between the two data sets in reference to the dates of when the lake froze/thawed
KMS17,SARANAC LOWER,L,N,UNITED STATES,NY,44 17 43 N,74 11 45 W,507,8.5,18.3,8.96,-999,-999,-,-,-999,-999,-999,-999,STEWART,KMS,KMS,44.29,-74.19,-999,-999
KMS18,SCHROON,L,N,UNITED STATES,NY,43 43 40 N,73 48 42 W,246,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,STEWART,KMS,KMS,43.73,-73.81,-999,-999
KMS19,STAR,L,N,UNITED STATES,NY,44 09 02 N,75 02 32 W,442,6.8,18.3,0.823,1.22,-999,-,-,-999,-999,-999,-999,STEWART,KMS,KMS,44.15,-75.04,-999,-999
KMS2,BRANT,L,N,UNITED STATES,NY,43 41 12 N,73 44 28 W,243,9.1,18.3,5.492,-999,-999,-,-,-999,-999,-999,-999,STEWART,KMS,KMS,43.68,-73.74,-999,-999
KMS20,SYLVIA,L,N,UNITED STATES,NY,44 15 39 N,75 24 25 W,199,21.3,42.7,1.311,-999,-999,-,-,-999,-999,-999,-999,STEWART,KMS,KMS,44.26,-75.41,-999,-999
KMS21,TITUS,L,N,UNITED STATES,NY,44 44 27 N,74 17 18 W,426,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,STEWART,KMS,KMS,44.74,-74.29,-999,-999
KMS22,NORTH TROUT LAKE,L,N,UNITED STATES,WI,46 03,89 40,491.95,7.62,-999,3.97,-999,-999,-,-,-999,-999,-999,-999,STEWART,KMS,KMS,46.05,-89.67,-999,-999
KMS23,CASSADAGA LOWER,L,N,UNITED STATES,NY,42 20 45 N,79 19 02 W,398,-999,15.2,0.368,-999,-999,-,-,-999,-999,-999,-999,STEWART,KMS,KMS,42.34,-79.32,-999,-999
KMS24,CRANBERRY,L,N,UNITED STATES,NY,44 13 N,74 50 W,457.2,1.8,9.1,28.308,-999,-999,-,-,-999,-999,-999,-999,STEWART,KMS,KMS,44.22,-74.83,-999,-999
KMS25,DEEP,L,N,UNITED STATES,NY,43 02,77 34,-999,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,STEWART,KMS,KMS,43.03,-77.57,-999,-999
KMS26,GLEN,L,N,UNITED STATES,NY,41 54 13 N,75 01 16 W,398,5.5,15.2,1.291,-999,-999,-,-,-999,-999,-999,-999,STEWART,KMS,KMS,41.9,-75.02,-999,-999
KMS27,MOHANSIC,L,N,UNITED STATES,NY,41 16 38 W,73 48 40 W,448,3.4,6.1,0.431,-999,-999,-,-,-999,-999,-999,-999,STEWART,KMS,KMS,41.28,-73.81,-999,-999
KMS4,CHATEAGUAY (LOWER),L,N,UNITED STATES,NY,44 50 29 N,74 02 29 W,399,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,STEWART,KMS,KMS,44.84,-74.04,-999,-999
KMS5,GENEGANTSLET,L,N,UNITED STATES,NY,42 30 32 N,75 46 15 W,454,-999,18.3,0.437,-999,-999,-,-,-999,-999,-999,-999,STEWART,KMS,KMS,42.51,-75.77,-999,-999
KMS6,LOON,L,N,UNITED STATES,NY,42 29 10 N,77 33 48 W,518,5.7,13.7,0.571,1.24,-999,-,-,-999,-999,-999,-999,STEWART,KMS,KMS,42.48,-77.56,-999,-999
KMS8,CHAUTAUQUA NORTH,L,N,UNITED STATES,NY,42 06 43 N,79 06 08 W,399,7.8,23,28.56,27.9,-999,-,-,-999,-999,-999,-999,STEWART,KMS,KMS,42.11,-79.1,-999,-999
KMS9,CHAUTAUQUA SOUTH,L,N,UNITED STATES,NY,42 06 43 N,79 06 08 W,399,3.5,6,24.68,27.9,-999,-,-,-999,-999,-999,-999,STEWART,KMS,KMS,42.11,-79.1,-999,-999
KMSM1,MOOSEHEAD LAKE,L,N,UNITED STATES,ME,45 39 N,69 40 W,314,-999,75,303,-999,-999,-,-,-999,-999,-999,-999,STEWART,KMS,KMS,45.65,-69.67,-999,-999
LR1,ONEIDA,L,N,UNITED STATES,NY,43 14 20 N,76 08 30 W,112,6.8,16.8,206.7,33.6,-999,-,-,-999,-999,-999,-999,RUDSTAM,LGR,LGR,43.24,-76.14,-999,LR1 from L Rudstam Jan 09.  From diary comments and other; some data updated-setting ice_in to first freeze and adjusting duration.  Replaces KMS13.  
LR2,CAZENOVIA,L,N,UNITED STATES,NY,42 55 44 N,75 51 42 W,363,7.2,14.5,4.79,5.48,-999,-,-,-999,-999,-999,-999,RUDSTAM,LGR,LGR,42.93,-75.86,-999,LR1 from L Rudstam Jan 09.  From diary comments and other; some data updated-setting ice_in to first freeze and adjusting duration.  Replaces KMS7.  
MA1,BLACK OAK LAKE,L,N,UNITED STATES,WI,46 09 27 N,89 18 25,-999,-999,25.9,2.36,-999,-999,-,-,-999,-999,-999,-999,ANNIN,-999,MA,46.16,-89.31,-999,Iceout Definition: When a boat can get from the sandbar on north side to the beach on south side
MB1,CLOVER POND,L,N,UNITED STATES,CT,41 12 N,73 09 W,-999,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,BIROSCAK,MB,MB,41.2,-73.15,-999,-999
MF11,ASHBY LAKE,L,N,CANADA,ON,45.1259,77.3515,-999,-999,36.6,2.59,-999,-999,-,-,-999,-999,-999,-999,FUTTER,-999,MF,45.13,-77.35,-999,-999
MF200,LAKE MEMPHREMAGOG,L,N,CANADA,QC,45.1233,72.27106029,-999,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,FUTTER,-999,MF,45.12,-72.27,-999,-999
MF203,LAKE NIPISSING,L,N,CANADA,ON,46.2653,79.5410046,-999,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,FUTTER,-999,MF,46.27,-79.54,-999,-999
MF23,BASS LAKE,L,N,CANADA,ON,45.1259,79.69256747,-999,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,FUTTER,-999,MF,45.13,-79.69,-999,-999
MF330,RICE LAKE AT INDIAN RIVER,L,N,CANADA,ON,44.226,78.15221304,-999,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,FUTTER,-999,MF,44.23,-78.15,-999,-999
MF83,CROW RIVER,R,N,CANADA,ON,44.8414,77.93108187,-999,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,FUTTER,-999,MF,44.84,-77.93,-999,-999
MF98,DORSET LAKES MEAN (MAIN BASIN),L,N,CANADA,ON,45,78,-999,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,FUTTER,-999,MF,45,-78,-999,-999
MICH01,SCHOOL SECTION LAKE,L,N,UNITED STATES,MI,43.597,85.273,-999,3.1,10.1,0.138,-999,-999,-,-,-999,-999,-999,-999,PAT SORANNO / KEN TOWNE,-999,-999,43.6,-85.27,-999,-999
MICH02,HOUGHTON LAKE,L,N,UNITED STATES,MI,44.35,84.725,346.86,2.6,6.1,89.21,-999,-999,-,-,-999,-999,-999,-999,PAT SORANNO / LYMAN FOSTER,-999,-999,44.35,-84.73,-999,-999
MICH03,GULL LAKE,L,N,UNITED STATES,MI,42.4,85.411,268.22,11.6,33.5,8.28,-999,-999,-,-,-999,-999,-999,-999,PAT SORANNO / STEVE HAMILTON,-999,-999,42.4,-85.41,-999,Steve Hamilton (from KBS) would like to be informed anytime the data are used. abstracts; presentations; papers; etc.)
MICH04,DUCK LAKE,L,N,UNITED STATES,MI,42.386,84.736,283.16,4,15.2,2.541,-999,-999,-,-,-999,-999,-999,-999,PAT SORANNO / BILL TAYLOR,-999,-999,42.39,-84.74,-999,-999
MICH05,EAGLE LAKE,L,N,UNITED STATES,MI,41.804,86.026,-999,-999,10.7,1.618,-999,-999,-,-,-999,-999,-999,-999,PAT SORANNO / JOHN MAKIELSKI,-999,-999,41.8,-86.03,-999,-999
MICH06,FAIR LAKE,L,N,UNITED STATES,MI,42.485,85.334,280.11,-999,11.89,0.926,-999,-999,-,-,-999,-999,-999,-999,PAT SORANNO / STEVE HAMILTON,-999,-999,42.49,-85.33,-999,Steve Hamilton (from KBS) would like to be informed anytime the data are used. abstracts; presentations; papers; etc.)
MICH07,DOUGLAS LAKE,L,N,UNITED STATES,MI,45.581,84.697,-999,5.5,27,15.08,-999,-999,-,-,-999,-999,-999,-999,PAT SORANNO,-999,-999,45.58,-84.7,-999,-999
MINN1,BIG SANDY,L,N,UNITED STATES,MN,46 45 N,93 15 W,-999,-999,25.6,38,67.4,-999,-,-,-999,-999,-999,-999,CARD,MINN,MINN,46.75,-93.25,4.9,-999
MINN11,FOUNTAIN,L,N,UNITED STATES,MN,43 30 N,93 30 W,-999,-999,4.3,2,23.5,-999,-,-,-999,-999,-999,-999,CARD,MINN,MINN,43.5,-93.5,1.5,-999
MINN12,MINNETONKA,L,N,UNITED STATES,MN,44 52,93 34 W,283,-999,34.4,58,146.6,-999,-,-,-999,-999,-999,-999,CARD,MINN,MINN,44.87,-93.57,-999,-999
MINN13,DIAMOND(MAIL),L,N,UNITED STATES,MN,45 11 N,94 52 W,-999,-999,8.23,6.87,15,-999,-,-,-999,-999,-999,-999,CARD,MINN,MINN,45.18,-94.87,6.1,-999
MINN14,BIG KANDIYOHI,L,N,UNITED STATES,MN,44 15 N,93 00 W,-999,-999,5.5,12,16.7,-999,-,-,-999,-999,-999,-999,CARD,MINN,MINN,44.25,-93,-999,-999
MINN15,RAINY,L,N,UNITED STATES,MN,48 36 N,93 22 W,337.72,-999,49.1,893.6,-999,-999,-,-,-999,-999,-999,-999,CARD,MINN,MINN,48.6,-93.37,-999,-999
MINN16,MITAWAN,L,N,UNITED STATES,MN,47 41,91 26 W,-999,-999,8.2,1,6.9,-999,-,-,-999,-999,-999,-999,CARD,MINN,MINN,47.68,-91.43,4,-999
MINN17,FALL,L,N,UNITED STATES,MN,47 56,91 45 W,-999,-999,9.8,9,36.2,-999,-,-,-999,-999,-999,-999,CARD,MINN,MINN,47.93,-91.75,4.3,-999
MINN18,WINSTED,L,N,UNITED STATES,MN,44 58,94 02 W,-999,-999,4,2,6.1,-999,-,-,-999,-999,-999,-999,CARD,MINN,MINN,44.97,-94.03,1.8,-999
MINN19,SISSETON,L,N,UNITED STATES,MN,43 39,94 28 W,-999,-999,-999,1,-999,-999,-,-,-999,-999,-999,-999,CARD,MINN,MINN,43.65,-94.47,-999,-999
MINN2,DETROIT,L,N,UNITED STATES,MN,46 47 N,95 56 W,406.6,-999,25,13,20,-999,-,-,-999,-999,-999,-999,CARD,MINN,MINN,46.78,-95.93,-999,-999
MINN20,MILLE LACS,L,N,UNITED STATES,MN,46 25,93 22 W,381.3,-999,11,536,122.6,-999,-,-,-999,-999,-999,-999,CARD,MINN,MINN,46.42,-93.37,6.4,-999
MINN21,SHETEK,L,N,UNITED STATES,MN,44 07,95 42 W,-999,-999,3,15,44.6,-999,-,-,-999,-999,-999,-999,CARD,MINN,MINN,44.12,-95.7,1.5,-999
MINN22,LIZZIE,L,N,UNITED STATES,MN,46 37 N,95 56 W,-999,-999,16.2,17,26.9,-999,-,-,-999,-999,-999,-999,CARD,MINN,MINN,46.62,-95.93,3,-999
MINN23,MINNEWASKA,L,N,UNITED STATES,MN,45 36,95 28 W,346.86,-999,9.8,31,32.2,-999,-,-,-999,-999,-999,-999,CARD,MINN,MINN,45.6,-95.47,5.2,-999
MINN25,KABETOGAMA,L,N,UNITED STATES,MN,48 32,93 05 W,341.07,-999,24.4,104.25,-999,-999,-,-,-999,-999,-999,-999,CARD,MINN,MINN,48.53,-93.08,-999,-999
MINN26,VERMILION,L,N,UNITED STATES,MN,47 10,93 52 W,390.14,-999,14.6,199,160.8,-999,-,-,-999,-999,-999,-999,CARD,MINN,MINN,47.17,-93.87,7.6,-999
MINN27,OSAKIS,L,N,UNITED STATES,MN,45 52,95 08 W,403.25,-999,20.4,27,34.1,-999,-,-,-999,-999,-999,-999,CARD,MINN,MINN,45.87,-95.13,-999,-999
MINN28,CLEAR,L,N,UNITED STATES,MN,44 27 N,94 31 W,310.59,-999,2.4,1.9,6.8,-999,-,-,-999,-999,-999,-999,CARD,MINN,MINN,44.45,-94.52,4.3,-999
MINN29,WHITE BEAR,L,N,UNITED STATES,MN,45 04 N,92 59 W,281.94,-999,25,9.8,17.9,-999,-,-,-999,-999,-999,-999,CARD,MINN,MINN,45.07,-92.98,6.1,-999
MINN3,BIG STONE,L,N,UNITED STATES,MN,45 30 N,96 30 W,-999,-999,4.9,24,99.5,-999,-,-,-999,-999,-999,-999,CARD,MINN,MINN,45.5,-96.5,3.4,-999
MINN30,BUFFALO,L,N,UNITED STATES,MN,45 15 N,93 45 W,-999,-999,9.1,6,9,-999,-,-,-999,-999,-999,-999,CARD,MINN,MINN,45.25,-93.75,-999,-999
MINN31,BEMIDJI,L,N,UNITED STATES,MN,47 30 N,94 50 W,408.13,-999,23.2,28,-999,-999,-,-,-999,-999,-999,-999,MN climatologist,MINN,MNCL,47.5,-94.83,-999,-999
MINN32,BONE,L,N,UNITED STATES,MN,45 17 N,92 52 W,-999,-999,9.1,0.8,-999,-999,-,-,-999,-999,-999,-999,MN climatologist,MINN,MNCL,45.28,-92.87,-999,-999
MINN33,GALPIN,L,N,UNITED STATES,MN,44 54 N,93 34 W,287.12,-999,4.1,0.194,-999,-999,-,-,-999,-999,-999,-999,MN climatologist,MINN,MNCL,44.9,-93.57,-999,-999
MINN34,GREEN,L,N,UNITED STATES,MN,45 15 N,94 54 W,352.35,-999,35.05,23.56,-999,-999,-,-,-999,-999,-999,-999,MN climatologist,MINN,MNCL,45.25,-94.9,-999,-999
MINN35,MCKINNEY,L,N,UNITED STATES,MN,47 15 N,93 32 W,391.97,-999,10.4,0.7,-999,-999,-,-,-999,-999,-999,-999,MN climatologist,MINN,MNCL,47.25,-93.53,-999,-999
MINN36,NORTH LONG,L,N,UNITED STATES,MN,46 28 N,94 10 W,-999,-999,29.6,25,-999,-999,-,-,-999,-999,-999,-999,MN climatologist,MINN,MNCL,46.47,-94.17,-999,-999
MINN37,PEPIN,L,N,UNITED STATES,MN,44 33 N,92 26 W,-999,-999,17.1,50.7,-999,-999,-,-,-999,-999,-999,-999,MN climatologist,MINN,MNCL,44.55,-92.43,-999,-999
MINN38,SHAGAWA,L,N,UNITED STATES,MN,47 55 N,91 53 W,-999,-999,14.6,9.6,-999,-999,-,-,-999,-999,-999,-999,MN climatologist,MINN,MNCL,47.92,-91.88,-999,-999
MINN39,LOWER PRIOR,L,N,UNITED STATES,MN,44 43 N,93 25 W,-999,-999,16.8,3.9,-999,-999,-,-,-999,-999,-999,-999,MN climatologist,MINN,MNCL,44.72,-93.42,-999,-999
MINN4,WACONIA,L,N,UNITED STATES,MN,44 52 N,93 48 W,-999,-999,13.4,13,10.9,-999,-,-,-999,-999,-999,-999,CARD,MINN,MINN,44.87,-93.8,-999,-999
MINN40,KABEKONA,L,N,UNITED STATES,MN,47 10 N,94 46 W,-999,-999,40.5,9.1,-999,-999,-,-,-999,-999,-999,-999,MN climatologist,MINN,MNCL,47.17,-94.77,-999,-999
