lakecode,lakename,lakeorriver,continent,country,state,latitude,longitude,elevation,mean_depth,max_depth,surface_area,shoreline,largest_city_population,power_plant_discharge,inlet_streams,area_drained,landuse_code,conductivity_us,secchi_depth,contributor,filename,initials,lat_decimal,lon_decimal,median_depth,comments
GAH1,LAKE AUBURN,L,N,UNITED STATES,ME,44 08 40,70 15 00,-999,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,HODGKINS,GAH,GAH,44.14,-70.25,-999,-999
GAH10,KEZAR LAKE,L,N,UNITED STATES,ME,44 11 04,70 54 12,-999,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,HODGKINS,GAH,GAH,44.18,-70.9,-999,-999
GAH11,MARANACOOK LAKE,L,N,UNITED STATES,ME,44 20 03,69 57 21,-999,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,HODGKINS,GAH,GAH,44.33,-69.96,-999,-999
GAH12,MESSALONSKEE LAKE,L,N,UNITED STATES,ME,44 28 41,69 47 34,-999,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,HODGKINS,GAH,GAH,44.48,-69.79,-999,-999
GAH14,MOOSELOOKMEGUNTIC LAKE,L,N,UNITED STATES,ME,44 54 25,70 48 40,-999,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,HODGKINS,GAH,GAH,44.91,-70.81,-999,-999
GAH15,PENNESSEEWASSEE (NORWAY) LAKE,L,N,UNITED STATES,ME,44 13 34,70 34 43,-999,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,HODGKINS,GAH,GAH,44.23,-70.58,-999,-999
GAH16,PONKAPOAG POND,L,N,UNITED STATES,MA,42 11 31,71 05 40,-999,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,HODGKINS,GAH,GAH,42.19,-71.09,-999,-999
GAH17,PONTOOSUC LAKE,L,N,UNITED STATES,MA,42 29 44,73 14 59,-999,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,HODGKINS,GAH,GAH,42.49,-73.25,-999,-999
GAH18,PORTAGE LAKE,L,N,UNITED STATES,ME,46 46 17,68 30 04,-999,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,HODGKINS,GAH,GAH,46.77,-68.5,-999,-999
GAH2,AZISCOHOS LAKE,L,N,UNITED STATES,ME,45 01 16,71 00 51,-999,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,HODGKINS,GAH,GAH,45.02,-71.01,-999,-999
