station,lake,long,lat,altitude
WRS290,LAKE ECORCES,-71,48.33,154
WRS291,LAKE EON,-63.29271332,51.8593689,557
WRS292,LAKE EIRIE,-80.57,42.58,183
WRS293,LAKE HA HA,-70.84224767,48.03346246,378
WRS294,LAKE KATHLYN,-127.2051839,54.82393123,498
WRS295,LAKE KENOGAMI,-71.27220194,48.35226215,158
WRS296,KENOGAMISIS LAKE,-86.86118,49.70625,313
WRS297,LAKE LABERGE,-135.1812986,61.17237792,623
WRS298,LAKE LOUISE,-68.82714787,50.65157704,399
WRS299,LAKE MANITOBA,-98.5,50.15,245
WRS300,LAKE MEGANTIC,-70.87758614,45.51477699,392
WRS301,LAKE MINNEWANKA,-115.4603036,51.25635347,1469
WRS302,LAKE NIPISSING,-79.76244,46.24391,188
WRS303,LAKE OF THE WOODS,-94.77504334,49.30013028,320
WRS304,LAKE ONATCHIWAY,-71.05773,49.0385,273
WRS305,LAKE ONTARIO,-76.6,44.22,86
WRS306,LAKE ONTARIO,-77.15,43.98,126
WRS307,LAKE ROSSIGNOL,-65.16175838,44.2090685,81
WRS308,LAKE ST CLAIR,-82.70342626,42.49333207,173
WRS309,LAKE ST. GEORGES,-64.35,49.81666667,5
WRS310,LAKE UTOPIA,-66.78991053,45.17450314,17
WRS311,LAKE WINNIPEG,-97.15389632,52.04460987,215
WRS312,LAKE WINNIPEGOSIS,-99.9392933,52.37561403,251
WRS313,LAKELSE LAKE,-128.5588708,54.38088014,70
WRS314,LANDING LAKE,-97.36118,55.28424,190
WRS315,LESSER SLAVE LAKE,-115.7251909,55.41564546,572
WRS316,LITTLE GILLAM LAKE,-94.7,56.35,79
WRS317,LITTLE KETTLE LAKE,-95.325759,56.128077,164
WRS318,LITTLE LAKE,-85.28131108,48.59777882,370
WRS319,LITTLE PLAYGREEN LAKE,-97.8,54,216
WRS320,LITTLE WABUSH LAKE,-66.87,52.93,602
WRS321,LONG LAKE (ONTARIO),-80.90402,46.71514,327
WRS322,LONG LAKE,-114.45,62.46666667,196
WRS323,LOWER ARROW LAKE (NORTHERN END),-117.804515,50.15827643,429
WRS324,LYNN LAKE,-101.04453,56.83653,335
WRS325,LYNX LAKE,-106.3577902,62.40565436,344
WRS326,MANUAN LAKE,-70.67953081,50.76599789,490
WRS327,MARA LAKE,-119.0134951,50.77184212,348
WRS328,MARSH LAKE,-134.33395,60.51123,655
WRS329,MARYJO LAKE,-66.79915307,54.81630007,507
WRS330,MC LEOD LAKE,-123.03985,54.99179,675
WRS331,MCKENZIE LAKE,-88.9,50.28,332
WRS332,MCLAUGHLIN ROAD RESERVOIR,-64.81501866,46.14863046,47
WRS333,MCTAGGARD LAKE,-119.33,76.23,13
WRS334,MEADOW LAKE,-108.34765,54.11209,469
WRS335,MINNOW LAKE,-80.95655,46.49246,287
WRS336,MISSION LAKE,-90.71666667,63.33333333,7
WRS337,MODULE LAKE,-113.22,68.5,3
WRS338,MOOSE LAKE,-118.9102543,52.9552891,1030
WRS339,MOUNT HYDE LAKE,-64.13092801,53.55849212,418
WRS340,MUNCHO LAKE,-125.7770347,58.99388694,819
WRS342,TESLIN LAKE,-132.75,60.17,683
WRS343,NITA LAKE,-122.9951723,50.09948592,641
WRS344,NITCHEQUON LAKE,-71.03903892,53.11639696,527
WRS345,NUKKO LAKE,-123.00959,54.0722,924
WRS346,NYM LAKE,-91.46938891,48.69312627,425
WRS347,OBA LAKE,-84.29181,48.63629,341
WRS348,OKANAGAN LAKE,-119.4942393,49.92525777,342
WRS349,OKANAGAN LAKE,-119.28,50.23,402
WRS350,ONE EYE LAKE,-124.9019824,51.96925686,901
WRS351,PELICAN LAKE,-91.93946441,50.07973451,355
WRS352,PICKLE LAKE,-90.21666667,51.45,353
WRS353,PICNIC LAKE,-85.26819437,48.60990537,368
WRS354,LAKE ONTARIO,-77.15,43.98,126
WRS355,PILING LAKE,-75.28,68.93,40
WRS356,PLATEAU LAKE,-91.47768019,48.73952642,433
WRS357,PLAYGREEN LAKE,-98.13644,53.89415,215
WRS358,POLICE LAKE,-90.72,63.03,1
WRS359,LAKE SUPERIOR,-89.32,48.37,202
WRS360,PORTAGE BAY,-98.79889,51.67219,248
WRS361,PRIMROSE LAKE,-109.7358464,54.90246038,595
WRS362,PRINGLE LAKE,-61.95004903,45.37625477,70
WRS363,RAMSEY LAKE,-80.93212519,46.47342183,246
WRS364,RANDOLPH LAKE,-88.9573025,50.276216,320
WRS365,RED INDIAN LAKE,-56.91326013,48.69200103,153
WRS366,RED LAKE - BRUCE CHANNEL,-93.8,51.07,378
WRS367,REMI LAKE,-82.15046719,49.42386522,225
WRS368,RESOLUTE LAKE,-94.94524481,74.68890318,9
WRS369,GREAT SLAVE LAKE,-113.68,61.18,201
WRS370,RICE LAKE,-95.66666667,51.03333333,250
WRS371,ROBERTSON BAY ON LITTLE PLAYGREEN L,-97.8,54,216
WRS372,ROBERTSON LAKE,-65.88,45.32,91
WRS373,SALMON ARM HARBOUR (SHUSWAP LAKE),-119.23,50.7,512
WRS374,SARCPA LAKE,-83.3571038,68.53769551,153
WRS375,SCHIST LAKE,-101.68,54.68,300
WRS376,SETTING LAKE,-98.63624467,54.98551505,222
WRS377,SHUSWAP LAKE,-119.1156817,50.97026513,348
WRS378,SKAHA LAKE,-119.5806224,49.39894188,335
WRS379,SMALL LAKE,-57.18,51.45,11
WRS380,SMALL LAKE NEAR STATION,-64.65,61.58,30
WRS381,SONA LAKE,-64.02338296,53.59301502,444
WRS382,LAKE HURON,-82.02,45.58,190
WRS383,STEEP ROCK LAKE,-91.67027399,48.79564581,389
WRS384,STOCO LAKE,-77.29468255,44.46353607,136
WRS385,STUART LAKE,-124.590852,54.56183789,678
WRS386,SUGAR LAKE,-118.516484,50.40102716,600
WRS387,SUMMIT LAKE,-124.6670219,58.64726165,1280
WRS388,SWAN LAKE,-119.2572087,50.31662202,387
WRS389,TARDIF LAKE,-73.2,68.62,66
WRS390,TEMISCOUATA LAKE,-68.86915174,47.68990327,147
WRS391,TESLIN LAKE,-132.3988715,59.97152733,683
WRS392,LAKE SUPERIOR,-89.32,48.37,202
WRS393,TOOKENAY LAKE,-85.28,48.6,383
WRS394,LAKE ONTARIO,-79.4,43.63,75
WRS395,TROUT LAKE,-79.34309193,46.31709024,201
WRS396,WRS396,-140.18,69.58,19
WRS397,WRS397,-122.58,58.83,260
WRS398,WRS398,-131.4,69.93,10
WRS399,WRS399,-77.19581274,69.23097357,8
WRS400,WRS400,-64.13,63.33,123
WRS401,WRS401,-64.03,67.55,12
WRS402,WRS402,-109.07,68.75,67
WRS403,WRS403,-66.8,68.47,1
WRS404,WRS404,-118.63,69.2,20
WRS405,WRS405,-120.8,69.58,88
WRS406,WRS406,-57.58,50.23,1
WRS407,WRS407,-71.17,68.65,451
WRS409,WRS409,-97.8,68.67,22
WRS410,WRS410,-100.0740808,68.3115483,12
WRS411,WRS411,-117.78,70.73,-9999
WRS412,WRS412,-126.93,70.02,1
WRS413,WRS413,-101.73,68.65,-9999
WRS414,WRS414,-75.28,68.93,40
WRS415,WRS415,-95.32,68.83,25
WRS416,WRS416,-120.33,76.23,82
WRS417,WRS417,-128.97,69.93,63
WRS418,WRS418,-61.87,47.38,14
WRS419,WRS419,-111.1,68.58,-9999
WRS420,WRS420,-124.73,71.95,30
WRS421,WRS421,-93.43,68.82,28
WRS422,WRS422,-137.22,68.95,-9999
WRS423,WRS423,-133.03,69.43,-9999
WRS424,UPPER DUMBELL LAKE,-62.33,82.5,1
WRS425,UPPER TWIN LAKE,-86.7,50.18333333,298
WRS426,WABUSH LAKE,-66.87,52.93,602
WRS427,WACOUNO LAKE,-66.27,50.22,10
WRS428,WASCANA LAKE,-104.6085984,50.42886556,570
WRS429,WATER LAKE,-89.72,68.43,213
WRS430,WATSON LAKE,-128.8166667,60.11666667,673
WRS431,WEST LYNN LAKE,-101.0566838,56.84552046,335
WRS432,WHITE LAKE,-85.62950262,48.75081192,323
WRS433,WHITE WATER LAKE,-81.12682412,46.53295903,263
WRS434,WILLIAMS LAKE,-122.07128,52.11761,564
WRS435,WILLISTON LAKE,-123.1333333,55.3,671
WRS436,WINTER HOUSE POND,-57.58,50.23,1
WRS437,YORK LAKE,-102.4703403,51.15280747,508
WSTA1,LAKE SUWA,138.0837,36.04871,750
WYK1,QINGHAI LAKE,100.33,37,3176
WYK2,QINGHAI LAKE,100.0500843,36.89084635,3194
WYK3,BOSTEN LAKE,87.05416385,41.96934258,1050
WYK4,DAI LAKE,112.6919056,40.56802083,1218
YATSU1,LAKE SUWA,138.0837,36.04871,750
