station,lake,long,lat,altitude
JK02,LAKE KALLAVESI (4079),27.77,62.83,81.8
JK03,LAKE NASIJARVI (3568),23.75618,61.69841,95.4
JK04,VESIJARVI,25.54,61.18,81.4
JK05,PAIJANNE,25.54,61.18,78.3
JK06,MUURASJARVI (1401),25.3576493,63.5067145,112.2
JK07,KALMARINJARVI (1417),24.99782492,62.778865,129.8
JK08,SUMMASJARVI (1419),25.38871454,62.64480075,108.5
JK09,PIELAVESI - SAVIA (1427),26.67,63.2,102.3
JK10,HANKAVESI - RAUTALAMPI (1436),26.74518901,62.5962525,96.1
JK11,KIVIJARVI,27.74017627,61.01162175,75.2
JK12,LAPPAJARVI - HALKOSAARI (4703),23.72044812,63.1565095,69.5
JK13,KITUSJARVI (3548),24.05533805,62.2827245,116.2
JK14,KUKKIA - PUUTIKKALA (3512),24.66871311,61.32826525,86.6
JK15,LANGELMAVESI,24.15,61.42,84.2
JK16,KIVIJARVI,27.40014422,60.9807595,75.1
JK17,ALA-RIEVELI (1468),26.18039437,61.3055515,77.8
JK18,VESIJARVI,25.65,60.99,111
JK19,JAASJARVI - HARTOLA (1457),26.15,61.61585,92.3
JK20,ALA-KINTAUS (1449),25.36632347,62.291679,154.4
JK21,IISVESI (1433),27.04,62.67,97.9
JK22,PAAJARVI - KARSTULA (1415),24.72974853,62.8555,144.4
JK23,KIVIJARVI,25.13,63.27,130.8
JK24,SAANIJARVI (1403),25.604626,63.4118875,114
JK25,HAUKIVESI,28.61,62.11,75.8
JK26,INARI,28.3,68.85,118.7
JK27,KEVOJARVI,27.01438653,69.75394,75.3
JK28,KILPISJARVI,20.79261835,69.0253405,472.8
JK29,KORVUANJARVI,28.6679415,65.372416,241.8
JK30,KUORTANEENJARVI,23.43126167,62.8337195,75.8
JK31,LENTUA,29.69352715,64.25122875,167.9
JK32,LESTIJARVI,24.72975385,63.531908,140.7
JK33,LIVOJARVI,28.12126372,65.99123575,243.7
JK34,MUTUSJARVI,26.84887281,69.01966425,146.2
JK35,NAAMANKAJARVI,28.30946922,65.1050725,173.5
JK36,OIJARVI,25.90313181,65.63273975,89.8
JK37,OUNASJARVI,23.58705027,68.3755525,286.9
JK38,PAIJANNE,25.56,61.48,78.3
JK39,PEERAJARVI,21.0939238,68.88764225,459.5
JK40,PIELINEN,29.13,63.54,93.7
JK41,POROVESI,27.12763,63.54326,85.8
JK42,REHJA,27.88733,64.20207,137.9
JK43,SAAKSJARVI - NURMIJARVI,24.6742357,60.5075345,99.8
JK44,UNARI,25.73162482,67.1645165,179.8
JK45,VISUVESI,23.93,62.12,96.1
JK46,PALOVESI,23.93334,61.89657,96
JK47,SIMPELEJARVI,29.43413783,61.55384675,68.8
JK48,AHTARINJARVI,24.05,62.76,153.5
JK49,KUIVAJARVI,23.86147,60.78028,96.6
JK50,JERISJARVI,24.11698471,67.90988825,257.6
JK51,SAAKSJARVI - SAAKSKOSKI,22.36855655,61.40496,49
JL1,CROOKED LAKE,-93.73,47.14,482
JL2,MCKINNEY LAKE,-93.53,47.25,393
KMS1,BONAPARTE,-75.39037472,44.14953834,240
KMS10,GEORGE,-73.54988617,43.62497552,97
KMS11,MIRROR,-73.98190169,44.29089457,565
KMS12,MOHONK,-74.15944444,41.76333333,380
KMS14,OTSEGO,-74.89406165,42.75838284,363
KMS15,PLACID,-73.99527778,44.30444444,566
KMS16,ST. REGIS LOWER,-74.25296351,44.4289231,493
KMS17,SARANAC LOWER,-74.18885647,44.30230706,507
KMS18,SCHROON,-73.78163982,43.7593174,246
KMS19,STAR,-75.04257766,44.15633701,442
KMS2,BRANT,-73.7056501,43.71435174,243
KMS20,SYLVIA,-75.41471446,44.25247223,199
KMS21,TITUS,-74.28241645,44.72501172,426
KMS22,TROUT LAKE,-89.66666667,46.05,491.95
KMS23,CASSADAGA LOWER,-79.31722222,42.34583333,398
KMS24,CRANBERRY,-74.81928578,44.1666569,457.2
KMS25,DEEP,-77.57017,43.02253,213
KMS26,GLEN,-75.02111111,41.90361111,398
KMS27,MOHANSIC,-73.80827403,41.27648397,139
KMS4,CHATEAGUAY (LOWER),-74.01823016,44.81846247,399
KMS5,GENEGANTSLET,-75.77498338,42.51634467,454
KMS6,LOON,-77.56753367,42.49296848,518
KMS8,CHAUTAUQUA,-79.42896862,42.17626112,399
KMS9,CHAUTAUQUA,-79.10222222,42.11194444,399
KMSM1,MOOSEHEAD LAKE,-69.70821364,45.6722732,314
LR1,ONEIDA,-75.90521318,43.21011271,112
LR2,CAZENOVIA,-75.87062357,42.95127299,363
MA1,BLACK OAK LAKE,-89.31288092,46.16285325,521
MB1,CLOVER POND,-73.15,41.2,30
MF11,ASHBY LAKE,-77.34766041,45.09137702,353
MF200,LAKE MEMPHREMAGOG,-72.28193232,45.10256145,205
MF203,LAKE NIPISSING,-79.76244,46.24391,192
MF23,BASS LAKE,-79.70443669,45.11016772,228
MF330,RICE LAKE AT INDIAN RIVER,-78.15621817,44.19816993,184
MF98,DORSET LAKES MEAN (MAIN BASIN),-78,45,365
MICH01,SCHOOL SECTION LAKE,-85.27403389,43.59759345,295
MICH02,HOUGHTON LAKE,-84.73796986,44.34937856,346.86
MICH03,GULL LAKE,-85.41073046,42.39937879,268.22
MICH04,DUCK LAKE,-84.78612,42.38561,283.16
MICH05,EAGLE LAKE,-86.02446998,41.80390028,242
MICH06,FAIR LAKE,-85.3322813,42.48542873,280.11
MICH07,DOUGLAS LAKE,-84.7036448,45.58216933,214
MINN1,BIG SANDY,-93.28280041,46.74448608,366
MINN11,FOUNTAIN,-93.37752,43.65612,281
MINN12,MINNETONKA,-93.65330829,44.90994523,283
MINN13,DIAMOND(MAIL),-94.84597996,45.18350857,355
MINN14,BIG KANDI,-93,44.25,370
MINN15,RAINY,-93.26240947,48.72331597,337.72
MINN16,MITAWAN,-91.43355559,47.67789944,522
MINN17,FALL,-91.71288006,47.96359124,397
MINN18,WINSTED,-94.04003388,44.96215104,300
MINN19,SISSETON,-94.46800355,43.65020896,351
MINN2,DETROIT,-95.93333333,46.78333333,406.6
MINN20,MILLE LACS,-93.66004063,46.23791395,381.3
MINN21,SHETEK,-95.69092841,44.1304264,450
MINN22,LIZZIE,-96.01789295,46.63242058,397
MINN23,MINNEWASKA,-95.42802341,45.62358405,346.86
MINN25,KABETOGAMA,-92.69229429,48.4223346,341.07
MINN26,VERMILION,-93.85958416,47.17652466,390.14
MINN27,OSAKIS,-95.1163174,45.90889207,403.25
MINN28,CLEAR,-94.51666667,44.45,310.59
MINN29,WHITE BEAR,-92.98930883,45.07560574,281.94
MINN3,BIG STONE,-96.7038231,45.42797695,293
MINN30,BUFFALO,-93.89420752,45.1626237,275
MINN31,BEMIDJI,-94.84907521,47.50268948,408.13
MINN32,BONE,-92.86083969,45.28629123,274
MINN33,GALPIN,-93.56378872,44.89749689,287.12
MINN34,GREEN,-94.90549365,45.25155165,352.35
MINN35,MCKINNEY,-93.5332932,47.25474162,391.97
MINN36,NORTH LONG,-94.2447053,46.43918064,360
MINN37,PEPIN,-92.43333333,44.55,205
MINN38,SHAGAWA,-91.88898082,47.91215441,404
MINN39,LOWER PRIOR,-93.41108,44.73465,272
MINN4,WACONIA,-93.78490325,44.86902272,289
MINN40,KABEKONA,-94.76893341,47.16659261,392
MINN41,LAX,-91.29666312,47.34571031,386
MINN42,PRIOR,-93.44584,44.71361,272
MINN5,LEECH,-94.37896,47.14375,395.02
MINN6,GULL,-94.33396077,46.4617452,360
MINN7,ITASCA,-95.2019727,47.21655361,445
MINN8,GUNFLINT,-90.66752123,48.1005795,469
MINN9,OX,-94.11905169,46.71258613,374
ML01,LAKE VATTERN,14.489715,58.33265875,89
ML02,LAKE VATTERN,14.41,58.03,88
NEUS,LAKE NEUSIEDL,16.75,47.82,88
NG1,LAKE BAIKAL,108.1884226,53.6631347,449
NG2,LAKE GUSINOE,106.33,51,564
PJD1,BALSAM,-78.84152593,44.58410567,256
PJD10,GREEN,-78.62008288,45.11188202,314.6
PJD11,HALIBURTON,-78.4,45.2,360.3
PJD12,HEAD,-78.5165052,45.05004466,317
PJD13,HENDERSON,-77.79331123,44.81033616,313
PJD14,JACKS,-76.93058749,45.29552548,305.4
PJD15,LAKE OF BAYS,-79.0181,45.2833,315
PJD16,LAKE OF BAYS,-79.0667,45.25,315
