lakecode,lakename,continent,country,state,IntermittentIceCover,Latitude_dd,Longitude_dd,Elevation_m,MeanAnnualAirTemp_c,SurfaceArea_km2,MeanDepth_m,MaximumDepth_m,Volume_mcm,WatershedArea_km2,ShorelineLength_km,ResidenceTime_days,MeanDischarge_m3_sec,Slope_degrees,ShorelineDevelopment,JFMCloudCover_perc,JFMPrecipitation_mm,DistanceToCoast_km,MaximumDistanceToLand_km
JK47,SIMPELEJARVI,E,Finland,,N,61.55384675,29.43413783,68.8,3.842276506,58.6,9.34,25.5,1449.25,485,197.01,4402.6,3.81,3.46,5.91,69.82764382,94.86341657,97.69,1.2
JK48,AHTARINJARVI,E,Finland,,N,62.76,24.05,153.5,3.288821195,39.9,5.2,27,,,,,,,,68.60244028,77.82683062,102.41,
JK49,KUIVAJARVI,E,Finland,,N,60.7853085,23.75298268,96.6,4.489634228,8.2,7,,214.61,266.5,51.92,990,2.509,2.06,2.64,72.81544848,91.34146528,57.86,1.9
JK50,JERISJARVI,E,Finland,,N,67.90988825,24.11698471,257.6,-0.29593498,23.5,3.4,11.7,390.98,115.4,58.98,6694.1,0.676,3.54,3.03,68.73902614,53.59756195,219.34,1.3
JK51,SAAKSJARVI - SAAKSKOSKI,E,Finland,,N,61.40496,22.36855655,49,4.681300891,33.18,3.7,9.1,336.48,953.2,44.67,425,9.163,2.78,2.18,72.45040801,100.1317094,32.08,2.1
KMS1,BONAPARTE,N,United States,NY,N,44.14953834,-75.39037472,240,6.419512328,5.05,9.4,21.3,49,52.2,20.32,484.7,1.17,4.33,2.57,71.03414787,198.6609797,373.75,0.9
KMS10,GEORGE,N,United States,NY,Y,43.62497552,-73.54988617,97,6.165650522,115.25,24.5,57,2775.3,608.3,173.46,2704.5,11.877,7.84,4.6,71.47805005,199.7268334,233.68,1.8
KMS11,MIRROR,N,United States,NY,N,44.29089457,-73.98190169,565,4.367886248,0.518,4.3,18.3,1.97,0.9,3.69,1197.9,0.019,3.83,1.63,71.35447277,213.4268327,294.94,0.2
KMS12,MOHONK,N,United States,NY,N,41.76333333,-74.15944444,380,9.526829429,0.069,6.5,18,,,,,,,,68.13414777,254.8292726,93.93,
KMS14,OTSEGO,N,United States,NY,Y,42.75838284,-74.89406165,363,7.058333467,17.11,24.9,50.6,425.9,204.5,34.49,1085.8,4.54,9.44,2.09,73.31138335,223.9536624,217.63,1
KMS15,PLACID,N,United States,NY,N,44.30444444,-73.99527778,566,4.367886248,8.794,15.8,42.7,,,,,,,,71.35447277,213.4268327,294.94,
KMS16,ST. REGIS LOWER,N,United States,NY,N,44.4289231,-74.25296351,493,5.140040773,1.477,4.7,10.7,6.49,46.6,6.36,76.1,0.987,2.78,1.53,71.33170899,194.7463448,320.86,0.6
KMS17,SARANAC LOWER,N,United States,NY,N,44.30230706,-74.18885647,507,5.140040773,8.96,8.5,18.3,114.19,297.2,45.57,204.3,6.47,5.02,4.42,71.33170899,194.7463448,309.35,0.9
KMS18,SCHROON,N,United States,NY,N,43.7593174,-73.78163982,246,6.165650522,21.87,1.5,47,32.9,1202.3,49.69,15.3,24.962,3.37,3,71.47805005,199.7268334,256.37,1
KMS19,STAR,N,United States,NY,N,44.15633701,-75.04257766,442,6.419512328,0.823,6.8,18.3,3.69,1.1,1.22,1709.9,0.025,3.02,2.1,71.03414787,198.6609797,361.33,0.4
KMS2,BRANT,N,United States,NY,N,43.71435174,-73.7056501,243,6.165650522,5.492,9.1,18.3,50.9,104.1,24.66,274.9,2.143,7.41,2.79,71.47805005,199.7268334,248.79,0.7
KMS20,SYLVIA,N,United States,NY,N,44.25247223,-75.41471446,199,6.419512328,1.311,21.3,42.7,5.7,6.6,5.55,499.7,0.132,2.86,1.42,71.03414787,198.6609797,387.14,0.7
KMS21,TITUS,N,United States,NY,N,44.72501172,-74.28241645,426,5.466260279,1.54,8.3,,12.82,15.4,6.69,491.3,0.302,5.2,1.52,69.2439039,209.5926861,333.82,0.4
KMS22,NORTH TROUT LAKE,N,United States,WI,N,46.05,-89.66666667,491.95,3.745122033,3.97,7.62,,,,,,,,,67.64959435,94.31219699,881.07,
KMS23,CASSADAGA LOWER,N,United States,NY,N,42.34583333,-79.31722222,398,8.076219651,0.368,2,15.2,,,,,,,,78.71626176,226.2560999,408.35,
KMS24,CRANBERRY,N,United States,NY,N,44.1666569,-74.81928578,457.2,5.410162703,28.308,1.8,9.1,74,385.3,78.44,87.7,9.768,5.13,4.46,71.31788753,202.3902479,351.89,1.6
KMS26,GLEN,N,United States,NY,N,41.90361111,-75.02111111,398,8.360366,1.291,5.5,15.2,,,,,,,,72.59187149,228.5414667,150.96,
KMS27,MOHANSIC,N,United States,NY,N,41.27648397,-73.80827403,139,11.02459369,0.431,3.4,6.1,1.56,3.4,3.37,217.5,0.083,3.91,1.65,63.91626141,287.458542,30.93,0.2
KMS4,CHATEAGUAY (LOWER),N,United States,NY,N,44.81846247,-74.01823016,399,5.466260279,2.13,10,,21.3,261.6,7.88,51.9,4.751,5.75,1.52,69.2439039,209.5926861,311.94,0.5
KMS5,GENEGANTSLET,N,United States,NY,N,42.51634467,-75.77498338,454,7.440040775,0.437,6.1,18.3,2.27,13.1,3.13,99.1,0.265,6.47,1.45,76.48455441,236.6463456,241.22,0.4
KMS6,LOON,N,United States,NY,N,42.49296848,-77.56753367,518,6.631300923,0.571,5.7,13.7,2.7,5.2,1.24,411.4,0.076,3.54,1.4,78.95691225,178.5024422,349.46,0.4
KMS8,CHAUTAUQUA NORTH,N,United States,NY,N,42.17626112,-79.42896862,399,8.076219651,28.56,7.8,23,144.4,480.5,27.9,268.9,6.215,3.04,3.12,78.71626176,226.2560999,399.71,1.5
KMS9,CHAUTAUQUA SOUTH,N,United States,NY,N,42.11194444,-79.10222222,399,8.076219651,24.68,3.5,6,,,27.9,,,,,78.71626176,226.2560999,377.02,
KMSM1,MOOSEHEAD LAKE,N,United States,ME,N,45.6722732,-69.70821364,314,4.012804942,303,5.8,75,1726.9,3315.1,343.45,308.9,64.705,3.61,5.6,66.75284682,227.6195162,130.07,2.9
LR1,ONEIDA,N,United States,NY,Y,43.21011271,-75.90521318,112,7.631097717,206.7,6.8,16.8,2296.12,3547.4,33.6,283.8,93.644,1.57,2.21,75.26504216,219.3756137,308.16,4.2
LR2,CAZENOVIA,N,United States,NY,N,42.95127299,-75.87062357,363,7.440040775,4.79,7.2,14.5,34.39,21.4,5.48,791.3,0.503,3.13,1.93,76.48455441,236.6463456,282.48,0.7
MA1,BLACK OAK LAKE,N,United States,WI,N,46.16285325,-89.31288092,521,3.631910647,2.36,5.9,25.9,12.1,13.8,10.63,502,0.279,3.14,2.1,68.91138359,94.74390436,851.89,0.7
MF11,ASHBY LAKE,N,Canada,ON,N,45.09137702,-77.34766041,353,4.808130188,2.59,9.4,36.6,24.47,35.1,17.61,699.2,0.405,4.94,3.07,65.90813148,188.6878081,512.96,0.5
MF200,LAKE MEMPHREMAGOG,N,Canada,QC,N,45.10256145,-72.28193232,205,5.139634222,90.68,36.8,107,3340.95,1752.3,149.32,960.2,40.271,6.96,4.42,68.68861929,248.5365889,208.84,2.2
MF203,LAKE NIPISSING,N,Canada,ON,N,46.24391937,-79.76244476,192,4.827235885,878.3,4.5,69,3952.37,10779.4,1217.85,310.5,147.305,,11.59,63.77723691,193.1365886,541.85,9
MF23,BASS LAKE,N,Canada,ON,N,45.11016772,-79.70443669,228,5.674796838,0.95,5.3,,5.02,8.8,9.05,754.8,0.077,3.6,2.62,65.64146451,286.4926875,666.19,0.4
MF330,RICE LAKE AT INDIAN RIVER,N,Canada,ON,N,44.19816993,-78.15621817,184,6.510772489,95.44,14.3,8,1362.64,9414,166.3,139.3,113.215,3.02,4.8,69.98374111,194.5536621,506.81,2.2
MICH01,SCHOOL SECTION LAKE,N,United States,MI,N,43.59759345,-85.27403389,295,7.338008266,0.138,3.1,10.1,1.33,99.4,5.02,17.9,0.86,1.52,2.17,75.50975803,143.7585389,865.06,0.4
MICH02,HOUGHTON LAKE,N,United States,MI,N,44.34937856,-84.73796986,346.86,6.697967604,89.21,2.6,6.1,456.35,553.7,47.83,1331.8,3.966,1.41,1.51,74.09349752,130.668295,829.5,3.6
MICH03,GULL LAKE,N,United States,MI,Y,42.39937879,-85.41073046,268.22,9.598780673,8.28,11.6,33.5,69.76,68.8,20.54,1406.6,0.574,2.97,2.03,75.90731886,154.9804907,806.53,0.9
MICH04,DUCK LAKE,N,United States,MI,N,42.386,-84.736,283.16,8.899593646,2.541,4,15.2,,,,,,,,75.36260323,158.0292706,757.68,
MICH05,EAGLE LAKE,N,United States,MI,N,41.80390028,-86.02446998,242,10.06199205,1.618,3.5,10.7,4.9,27,5.8,223.1,0.254,1.92,1.38,74.79593652,185.5097594,824.93,0.6
MICH06,FAIR LAKE,N,United States,MI,N,42.48542873,-85.3322813,280.11,9.598780673,0.926,4.2,11.89,3.81,5.2,6.41,981.2,0.045,2.21,1.89,75.90731886,154.9804907,807.13,0.4
MICH07,DOUGLAS LAKE,N,United States,MI,N,45.58216933,-84.7036448,214,5.454878162,15.08,5.5,27,113.67,93.7,23.66,1529.8,0.86,2.65,1.74,68.62601766,146.0268313,700.58,1.5
MINN1,BIG SANDY,N,United States,MN,N,46.74448608,-93.28280041,366,5.020325287,38,3.3,25.6,97.9,1106.2,67.4,91.3,12.413,2.19,5.41,65.969107,69.13170848,1043.35,2.1
MINN11,FOUNTAIN,N,United States,MN,N,43.5,-93.5,281,7.578455412,2,2,4.3,,,23.5,,,,,67.69837514,87.31219675,1296.97,
MINN12,MINNETONKA,N,United States,MN,N,44.90994523,-93.65330829,283,7.598780642,58,6.3,34.4,105.83,122.9,146.6,1586.6,0.772,2.16,3.27,67.64227763,80.20000123,1198.95,1
MINN13,DIAMOND(MAIL),N,United States,MN,N,45.18350857,-94.84597996,355,6.314634247,6.87,9.1,8.23,55.4,75.5,15,1269.7,0.505,1.07,1.5,67.0642288,80.61219653,1249.16,0.9
MINN14,BIG KANDIYOHI,N,United States,MN,N,44.25,-93,333,7.452642426,12,6,5.5,,,16.7,,,,,67.73496063,86.96829381,1209.77,
MINN15,RAINY,N,United States,MN,N,48.72331597,-93.26240947,337.72,2.9689025,893.6,8,49.1,6611.8,38038.1,2156.32,245.6,311.645,,21.16,60.98048863,79.63170835,895.43,3.2
MINN16,MITAWAN,N,United States,MN,N,47.67789944,-91.43355559,522,2.593292749,1,4.9,8.2,2.86,14,6.9,140.2,0.236,3.47,2.07,64.3390253,93.69268402,868.44,0.2
MINN17,FALL,N,United States,MN,N,47.96359124,-91.71288006,397,2.980691115,9,2.2,9.8,21.7,3041.3,36.2,6.1,41.338,3.18,4.56,64.3861797,88.40487942,862.9,0.7
MINN18,WINSTED,N,United States,MN,N,44.96215104,-94.04003388,300,7.405894432,2,2.9,4,4.04,2.7,6.1,2751.8,0.017,1.56,1.42,67.14959475,78.3609772,1217.25,0.5
MINN19,SISSETON,N,United States,MN,N,43.65020896,-94.46800355,351,7.292683051,1,4.6,,7.52,149.3,10.8,103.5,0.84,2.55,2.39,67.25203364,87.72926994,1339.09,0.4
MINN2,DETROIT,N,United States,MN,N,46.78333333,-95.93333333,406.6,4.734959445,13,4,25,,,20,,,,,66.11219629,59.0536596,1147.65,
MINN20,MILLE LACS,N,United States,MN,N,46.23791395,-93.66004063,381.3,5.654065133,536,7.8,11,4022.71,1067.8,122.6,5105.7,9.119,,1.6,66.86422878,73.51707432,1102.1,9.9
MINN21,SHETEK,N,United States,MN,N,44.1304264,-95.69092841,450,6.944918803,15,2.5,3,37.1,469.7,44.6,171.3,2.506,1.57,4.03,67.99431049,76.08048915,1377.02,1.2
MINN22,LIZZIE,N,United States,MN,N,46.63242058,-96.01789295,397,5.0855692,17,2,16.2,28.6,858.9,26.9,121.2,2.732,1.45,2.07,66.90731827,57.81707417,1166.21,1.2
MINN23,MINNEWASKA,N,United States,MN,N,45.62358405,-95.42802341,346.86,5.691260262,31,7.9,9.8,247.3,226.2,32.2,2397.2,1.194,2.28,1.55,66.91788718,75.37073313,1248.65,1.8
MINN25,KABETOGAMA,N,United States,MN,N,48.4223346,-92.69229429,341.07,3.04146347,104.25,23.4,24.4,4884.52,19058.6,607.63,349.3,161.846,3.41,11.85,62.4341475,81.54146477,887.65,2.6
MINN26,VERMILION,N,United States,MN,N,47.17652466,-93.85958416,390.14,4.784959436,199,4.1,14.6,6.34,72.6,160.8,141.3,0.519,2.21,1.69,64.89674908,66.36829393,1043.14,0.4
MINN27,OSAKIS,N,United States,MN,N,45.90889207,-95.1163174,403.25,5.691260262,27,4.8,20.4,113.44,256.1,34.1,886.6,1.481,1.59,2.06,66.91788718,75.37073313,1209.47,1.7
MINN28,CLEAR,N,United States,MN,N,44.45,-94.51666667,310.59,7.516463553,1.9,2,2.4,,,6.8,,,,,68.06097682,81.71463541,1281.29,
MINN29,WHITE BEAR,N,United States,MN,N,45.07560574,-92.98930883,281.94,6.975609882,9.8,5.9,25,55.47,58.2,17.9,1507.2,0.426,1.82,1.86,67.61951363,82.71463562,1146.85,1
MINN3,BIG STONE,N,United States,MN,N,45.42797695,-96.7038231,293,6.244105802,24,5.7,4.9,252.9,1884,99.5,520.1,5.628,3.01,4.14,67.83333504,56.1073179,1306.77,0.9
MINN30,BUFFALO,N,United States,MN,N,45.1626237,-93.89420752,275,6.723983844,6,6.7,9.1,39.7,53.5,9,1400.8,0.328,2.51,1.12,67.12113912,75.06585488,1193.38,1.3
MINN31,BEMIDJI,N,United States,MN,N,47.50268948,-94.84907521,408.13,4.18028462,28,8.1,23.2,211.45,1565.9,23.79,314.9,7.771,2.44,1.31,63.78780579,59.38292786,1056.69,2
MINN32,BONE,N,United States,MN,N,45.28629123,-92.86083969,274,6.975609882,0.8,4.2,9.1,3.05,19.3,4.56,245.4,0.144,2.35,1.5,67.61951363,82.71463562,1122.23,0.4
MINN33,GALPIN,N,United States,MN,N,44.89749689,-93.56378872,287.12,7.598780642,0.194,2.7,4.1,0.47,1.1,2.95,776.3,0.007,1.55,2.01,67.64227763,80.20000123,1194.17,
MINN34,GREEN,N,United States,MN,N,45.25155165,-94.90549365,352.35,6.314634247,23.56,7.1,35.05,154.15,394.4,18.43,712.8,2.503,2.24,1.11,67.0642288,80.61219653,1245.33,2.3
MINN35,MCKINNEY,N,United States,MN,N,47.25474162,-93.5332932,391.97,4.784959436,0.7,3.8,10.4,1.52,6.3,2.48,337.8,0.052,2.34,1.1,64.89674908,66.36829393,1019.23,0.4
MINN36,NORTH LONG,N,United States,MN,N,46.43918064,-94.2447053,360,5.528455379,25,7.6,29.6,186.25,97.6,29.95,4758.6,0.453,2.33,1.71,66.82683036,74.26829384,1122.62,2
MINN37,PEPIN,N,United States,MN,N,44.55,-92.43333333,205,7.047357855,50.7,6,17.1,,,137,,,,,67.69268442,84.42195276,1153.88,
MINN38,SHAGAWA,N,United States,MN,N,47.91215441,-91.88898082,404,2.980691115,9.6,9.7,14.6,84.17,241.5,25.62,375.1,2.597,3.35,2.45,64.3861797,88.40487942,880.19,0.8
MINN39,LOWER PRIOR,N,United States,MN,N,44.71666667,-93.41666667,272,7.466666788,3.9,,16.8,,,,,,,,67.72195252,89.02195271,1199.43,
MINN4,WACONIA,N,United States,MN,N,44.86902272,-93.78490325,289,7.598780642,13,5.9,13.4,72.29,42.4,10.9,3169.2,0.264,2.18,1.39,67.64227763,80.20000123,1209.03,1.6
MINN40,KABEKONA,N,United States,MN,N,47.16659261,-94.76893341,392,4.704674882,9.1,9.2,40.5,86.77,249.1,16.27,795.8,1.262,3.1,1.5,64.73089544,58.64390351,1091.34,1.1
MINN41,LAX,N,United States,MN,N,47.34571031,-91.29666312,386,3.908333414,1.2,5.6,10.7,5.37,16,6.02,190.1,0.327,3.97,1.73,64.88699316,89.6390256,884.66,0.4
MINN42,PRIOR,N,United States,MN,N,44.71666667,-93.41666667,272,7.466666788,5,6,19,,,,,,,,67.72195252,89.02195271,1199.43,
MINN5,LEECH,N,United States,MN,N,47.11666667,-94.11666667,395.02,5.058943201,443,,45.7,,,,,,,,64.73983827,58.6121963,1062.61,
MINN6,GULL,N,United States,MN,N,46.4617452,-94.33396077,360,5.528455379,30,2.1,24.4,92.9,755.1,61.2,312.8,3.437,3.54,4.3,66.82683036,74.26829384,1124.52,1.9
MINN7,ITASCA,N,United States,MN,N,47.21655361,-95.2019727,445,4.478455363,4,9.1,13.7,36.67,88.8,21.9,938.9,0.452,4.08,3.03,65.49674913,56.31951328,1091.01,0.5
MINN8,GUNFLINT,N,Canada,MN,N,48.1005795,-90.66752123,469,2.212398397,9,14.3,71.9,244.84,380.4,29,613.9,4.616,4.36,3.07,62.15203349,99.0512215,793.47,0.9
MINN9,OX,N,United States,MN,N,46.71258613,-94.11905169,374,5.513821225,1,4.4,22.6,3.93,3.8,6.1,2164.1,0.021,2.51,1.98,65.8252044,70.37317177,1092.88,0.5
ML01,LAKE VATTERN AT VISINGSO FERRY,E,Sweden,,Y,58.33265875,14.489715,89,6.216057022,1886,38,120,74000,6369.1,644.78,25414.9,33.7,,4.19,72.64065155,104.2024409,103.58,9.9
NG1,LAKE BAIKAL,A,Russia,,N,53.6631347,108.1884226,449,-2.296341494,31967.85,738.7,1642,23615000,569176.2,2688.05,136804.9,1997.895,,4.24,58.59837441,24.78780536,1716.43,33.7
PJD1,BALSAM,N,Canada,ON,N,44.58410567,-78.84152593,256,5.514024499,1.129,8.1,,388.62,2038.1,84.07,194.1,23.168,2.15,3.43,66.69593582,226.3756134,578.43,1.5
PJD10,GREEN,N,Canada,ON,N,45.11188202,-78.62008288,314.6,4.540853734,1.191,5,12.2,6.71,245.2,5.25,24.5,3.169,3.18,1.26,64.8918712,268.6707359,606.13,0.5
PJD11,HALIBURTON,N,Canada,ON,N,45.2,-78.4,360.3,4.331707398,10.136,18,54.9,,,37.45,,,,,65.4097572,208.7512227,586.72,
PJD12,HEAD,N,Canada,ON,N,45.05004466,-78.5165052,317,4.540853734,0.622,5.6,,3.68,153.2,4.76,21,2.035,4.57,1.66,64.8918712,268.6707359,598.93,0.4
PJD13,HENDERSON,N,Canada,ON,N,44.81033616,-77.79331123,313,5.488617986,0.18,4.7,,0.85,3.2,2.19,253.7,0.039,4.81,1.45,66.16341596,199.7853692,541.23,0.2
PJD14,JACKS,N,Canada,ON,N,45.29552548,-76.93058749,305.4,5.237804976,0.34,5.1,,1.72,14.3,5.38,136.4,0.146,4.49,2.6,66.87642422,190.4170758,475.3,0.2
PJD15,LAKE OF BAYS HAYSTACK,N,Canada,ON,N,45.2833,-79.0181,315,5.251829376,70.581,,,,,,,,,,64.98211484,250.6658582,628.27,
PJD16,LAKE OF BAYS MAIN,N,Canada,ON,N,45.25,-79.0667,315,5.251829376,70.581,34,71,,,,,,,,64.98211484,250.6658582,632.65,
PJD17,LAKE OF TWO RIVERS,N,Canada,ON,N,45.57884931,-78.47955137,392.9,3.680691134,3.13,12.8,,40.18,240.7,9.75,165.3,2.813,6.73,1.56,64.63170828,184.2707345,577.17,0.8
PJD18,LITTLE HAWK,N,Canada,ON,N,45.15849457,-78.74109599,359.7,4.540853734,3.428,31.6,93,114.91,228.4,19,531.6,2.502,6.29,5.41,64.8918712,268.6707359,613.39,0.6
PJD19,LONG POND,N,Canada,ON,N,44.62886243,-76.54957869,178,5.692479809,0.53,3.8,,2.02,6.3,7.57,299.4,0.078,2.2,2.95,67.1910584,204.5609791,464.81,0.2
PJD2,BOSHKUNG,N,Canada,ON,N,45.05,-78.75,307.5,4.540853734,7.164,23.3,71.0184,,,17.6,,,,,64.8918712,268.6707359,611.96,
PJD21,MUSKOKA,N,Canada,ON,N,45.01072511,-79.42343767,223.5,5.251829376,122.058,20.4,67,2482.39,4193.6,394.24,707.4,40.616,3.45,10.09,64.98211484,250.6658582,644.39,2.4
PJD22,OBLONG,N,Canada,ON,N,45.1833,-78.4333,360.3,4.331707398,0.214,17.4,27,,,5.75,,,,,65.4097572,208.7512227,588.26,
PJD23,OPEONGO,N,Canada,ON,N,45.69468973,-78.39051161,403.3,3.680691134,51.581,19.2,27.5,1142.6,334.2,172.1,3460.1,3.822,4.33,6.3,64.63170828,184.2707345,567.48,1.5
PJD24,PERCY,N,Canada,ON,N,45.2074198,-78.34962255,388.6,4.331707398,5.956,12,,64.33,76.5,23.51,720.1,1.034,5.16,2.87,65.4097572,208.7512227,580.82,0.7
PJD25,ROSSEAU,N,Canada,ON,N,45.18012548,-79.73049431,225,5.674796838,63.744,23.4,60,3390.94,798.3,21.765,5387.4,7.285,4.56,10.59,65.64146451,286.4926875,661.88,1.9
PJD26,SCUGOG,N,Canada,ON,N,44.18883575,-78.82627069,249.9,6.364837531,66.44,7.9,8,522.83,532.4,148.82,1106.9,5.467,1.95,5.15,69.87723721,189.7682957,544.88,1.8
PJD27,SHABOMEKA,N,Canada,ON,N,44.8937185,-77.13414811,273,5.509349698,2.56,10.7,,27.42,49.7,13.82,558.8,0.568,5.84,2.44,66.71057027,219.6658565,508.25,0.4
PJD28,SIMCOE,N,Canada,ON,N,44.3833,-79.6833,256,6.588008264,725,15,41,,,,,,,,69.08211514,190.6536609,612.26,
PJD29,SMOKE,N,Canada,ON,N,45.51792539,-78.68207407,421,3.885569165,6.071,14.5,,96.22,112,34.4,878.9,1.267,5.94,3.76,64.44552929,219.0195161,597.67,0.6
PJD3,CANOE,N,Canada,ON,N,45.55404319,-78.71889901,420.3,3.885569165,3.775,9.7,,35.04,292.6,23.83,121.1,3.349,4.58,3.53,64.44552929,219.0195161,596.4,0.6
PJD30,ST NORA,N,Canada,ON,N,45.15506612,-78.8334077,332.8,4.540853734,2.62,16,39,34.6,525,15.57,73.7,5.432,6.97,2.69,64.8918712,268.6707359,619.3,0.5
PJD32,TEMISKAMING,N,Canada,ON,N,47.06136196,-79.4056019,174,3.276016326,49.06,27.9,,1370.99,48599.3,130,23.7,670.062,6.24,5.24,61.96748054,159.5975635,453.58,1.9
PJD33,TWELVE MILE,N,Canada,ON,N,45.0167,-78.7167,307.5,4.540853734,3.368,11.8,25,,,,,,,,64.8918712,268.6707359,606.53,
PJD4,CHEMONG,N,Canada,ON,N,44.45919467,-78.40556979,246,6.510772489,113.16,11.9,7,1351.52,6407.6,433.48,203.4,76.896,2.2,11.5,69.98374111,194.5536621,544.88,1.5
PJD5,CHESLEY,N,Canada,ON,N,44.55413595,-81.22296301,224,6.4556912,2.08,4.1,,8.47,11.2,8.49,942.1,0.104,2,1.66,70.0967495,224.0804912,697.22,0.7
PJD6,COUCHICHING,N,Canada,ON,N,44.6683,-79.3684,218.8,6.588008264,42.43,6,12,,,,,,,,69.08211514,190.6536609,613.94,
PJD7,DRC LAKES MEAN,N,Canada,ON,N,45.22,-78.93,338.51,4.540853734,0.52,8.8,23.1,,,4.63,,,,,64.8918712,268.6707359,625.18,
PJD8,EAGLE,N,Canada,ON,N,45.1333,-78.5167,348.1,4.540853734,2.347,,24.4,,,12.45,,,,,64.8918712,268.6707359,595.72,
PJD9,GOLD,N,Canada,ON,N,44.72880452,-78.28147952,295,5.590853757,21.13,12.7,,267.83,328.8,131.35,728,4.258,3.75,8.06,66.79105821,205.7853699,562.43,0.9
RA1,LAKE MUEGGELSEE,E,Germany,,Y,52.43696615,13.65000026,32.37,9.558536754,7.3,4.9,8,47.99,7611.3,11.5,16.7,33.169,2.43,1.14,80.90406657,112.217075,145.6,1.2
RA2,NEHMITZSEE,E,Germany,,Y,53.13455519,12.98446345,59,9.046138374,1.7,6.4,18.6,4.49,38.1,14.1,284,0.183,4.25,2.08,80.53008255,125.1000017,95.99,0.4
RAA1,BUFFALO HARBOR TO LONG POINT,N,United States,NY,N,42.88,-78.9,173.74,9.112805047,,27,62,,,,,,,,73.08699324,193.373174,439.54,
RAA3,GRAND TRAVERSE BAY,N,United States,MI,Y,44.75,-85.61666667,176.45,8.070528603,717.427,46,100,,,,,,,,70.17317187,117.5829289,815.61,
RAA4,GREEN BAY AT MENOMINEE,N,United States,MI,Y,45,-87.64,176.45,8.070528603,4212,9,53,,,,,,,,70.17317187,117.5829289,869.1,
RB13,KEITELE SE,E,Finland,,N,62.76666667,26.4,99,3.418495999,55,6.3,65,,,,,,,,70.98780624,88.10000186,196.25,
RB14,KEITELE SW,E,Finland,,N,62.56666667,25.83333333,99,3.418495999,9,6.3,65,,,,,,,,70.98780624,88.10000186,190.86,
RB18,VATIANJARVI E,E,Finland,,N,62.48333333,25.9,89,3.350609803,6,4.05,27.8,,,,,,,,71.39674923,87.15853792,199.69,
RB19,KOIVUJARVI S,E,Finland,,N,63.61666667,26.23333333,131,3.246544784,2,6.6,,,,,,,,,69.59918833,82.35853766,131.55,
RB2,RUKAVESI S,E,Finland,,N,62.9,30.23333333,94,2.422357765,24,,,,,,,,,,72.22683046,90.96829427,254.09,
RB20,KOSKIVESI W,E,Finland,,N,62.96666667,26.71666667,98,3.562601677,4,,,,,,,,,,70.96910728,85.65122098,193.67,
RB22,NIINIVESI W,E,Finland,,N,62.76666667,26.68333333,98,3.562601677,20,11,29,,,,,,,,70.96910728,85.65122098,208.45,
RB23,KIESIMA W,E,Finland,,N,62.76666667,26.51666667,101,3.562601677,8,7.63,31.69,,,,,,,,70.96910728,85.65122098,200.79,
RB24,POHJOIS KONNEVESI W,E,Finland,,N,62.76666667,26.4,95,3.418495999,25,10.61,57.12,,,,,,,,70.98780624,88.10000186,196.25,
RB25,KONNEVESI W,E,Finland,,N,62.61666667,26.35,95,3.418495999,10,9.8,54.1,,,,,,,,70.98780624,88.10000186,207.31,
RB26,VANGINVESI E,E,Finland,,N,62.56666667,26.23333333,90,3.681097642,1.5,5.46,23.57,,,,,,,,68.75772501,99.06097731,206.33,
RB27,KYNSIVESI W,E,Finland,,N,62.36666667,26.16666667,88,3.681097642,2,9.2,54,,,,,,,,68.75772501,99.06097731,207.54,
RB28,KUUHANKAVESI S,E,Finland,,N,62.35119475,26.39597084,99,3.580487867,2,6.3,24,111.73,192.9,40.96,718.1,1.801,2.12,2.74,70.96422912,95.00975743,200.72,1
RB3,HOYTIAINEN S,E,Finland,,N,62.869664,29.69260778,87,2.491869969,110,8.4,,8198.09,611.4,310.78,13418.9,7.071,2.84,5.21,72.60406662,102.1439043,242.25,3.2
RB30,PETAJAVESI N,E,Finland,,N,62.25,25.16666667,111,3.696341517,2,4.21,26.59,,,,,,,,71.44553009,82.6780502,183.42,
RB31,SALOSJARVI S,E,Finland,,N,62.06666667,25.16666667,103,3.696341517,2,4.46,13.4,,,,,,,,71.44553009,82.6780502,178.82,
RB32,ISOJARVI W,E,Finland,,N,61.70834175,25.03625528,119,3.663821206,3,29.3,68,562.47,199.8,81.83,4041,1.611,7.92,5.27,69.93739995,90.38048956,142.91,0.7
RB34,JOUTSJARVI C,E,Finland,,N,61.51666667,25.85,85,3.681097642,4,3.79,23.66,,,,,,,,68.75772501,99.06097731,111.75,
RB38,KYYVESI E,E,Finland,,N,62.00121175,27.08213804,101,3.834959426,4,5.4,35.25,2538.08,1314.5,500.45,2716.5,10.814,2.8,11.56,72.23008272,83.1390259,160.57,1.6
RB39,PYHAVESI E,E,Finland,,N,61.40828075,26.92726149,82,4.042276513,15,8.7,26.82,613.15,6131.7,170.38,147.5,48.127,4.77,8.38,71.6804888,108.1024408,94.52,0.9
RB4,ORIVESI SE,E,Finland,,N,62.1,29.88333333,75,3.842276506,30,9.8,74,,,,,,,,69.82764382,94.86341657,165.02,
RB40,VUOHIJARVI E,E,Finland,,N,61.2861995,26.79141077,77,4.042276513,30,16.3,64,5270.6,5170.4,462.84,1486.2,41.045,4.63,10.05,71.6804888,108.1024408,83.11,1.9
